block_size,id,host_id,neighbourhood_cleansed,name,latitude,longitude,room_type,property_type
4,1482514939663349356,516316088,Wandsworth,Battersea Park 7 Min walk • Balcony • Cafés Below,51.4718111,-0.1664666,Entire home/apt,Entire rental unit
4,32488334,47609036,Westminster,Mayfair Green Park apartment,51.506813049316406,-0.1460350006818771,Entire home/apt,Entire condo
4,51421045,47609036,Westminster,Mayfair Green Park apartment,51.50673675537109,-0.1461279988288879,Entire home/apt,Entire condo
4,51421225,47609036,Westminster,Mayfair Green Park apartment,51.50673675537109,-0.1461279988288879,Entire home/apt,Entire condo
4,52178828,47609036,Westminster,Mayfair Green Park apartment,51.50673675537109,-0.1461279988288879,Entire home/apt,Entire condo
4,50279567,47609036,Westminster,Oxford Street luxury 2 bedroom serviced apartment,51.51481824820806,-0.1480623388362885,Entire home/apt,Entire serviced apartment
4,52768714,47609036,Westminster,Oxford Street luxury 2 bedroom serviced apartment,51.51481824820806,-0.1480623388362885,Entire home/apt,Entire serviced apartment
4,54189333,47609036,Westminster,Oxford Street luxury 2 bedroom serviced apartment,51.51481824820806,-0.1480623388362885,Entire home/apt,Entire serviced apartment
4,1121751287669187790,47609036,Westminster,Oxford Street luxury 2 bedroom serviced apartment,51.5145082741776,-0.1484644347793651,Entire home/apt,Entire serviced apartment
4,30760224,217727211,Westminster,Double Garden View room - London House Hotel***,51.51397,-0.18949,Private room,Room in boutique hotel
4,40770469,217727211,Westminster,Double Garden View room - London House Hotel***,51.513973,-0.18949,Private room,Room in boutique hotel
4,45572888,217727211,Westminster,Double Garden View room - London House Hotel***,51.513954,-0.189468,Private room,Room in boutique hotel
4,45662139,217727211,Westminster,Double Garden View room - London House Hotel***,51.513954,-0.189468,Private room,Room in boutique hotel
4,40770921,217727211,Westminster,Twin Garden View room - London House Hotel***,51.513973,-0.18949,Private room,Room in boutique hotel
4,51319405,217727211,Westminster,Twin Garden View room - London House Hotel***,51.513954,-0.189468,Private room,Room in boutique hotel
4,54300349,217727211,Westminster,Twin Garden View room - London House Hotel***,51.513954162597656,-0.1894679963588714,Private room,Room in boutique hotel
4,54300614,217727211,Westminster,Twin Garden View room - London House Hotel***,51.513954162597656,-0.1894679963588714,Private room,Room in boutique hotel
4,43395217,345760385,Westminster,"Hyde Park Luxurious Hotel, Faboulas Double Room",51.50172,-0.18071,Private room,Private room in rental unit
4,43402693,345760385,Westminster,"Hyde Park Luxurious Hotel, Faboulas Double Room",51.50201,-0.18108,Private room,Private room in rental unit
4,43402704,345760385,Westminster,"Hyde Park Luxurious Hotel, Faboulas Double Room",51.50238,-0.18142,Private room,Private room in rental unit
4,43403562,345760385,Westminster,"Hyde Park Luxurious Hotel, Faboulas Double Room",51.5023,-0.18064,Private room,Private room in rental unit
4,1303596923004130078,536765083,Westminster,Comfortable City Centre Studio King Size Bed,51.48834,-0.13891,Entire home/apt,Entire condo
4,1358774846429328496,536765083,Westminster,Comfortable City Centre Studio King Size Bed,51.48834,-0.13891,Entire home/apt,Entire rental unit
4,1442072486844571600,536765083,Westminster,Comfortable City Centre Studio King Size Bed,51.4883631,-0.1388842,Entire home/apt,Entire rental unit
4,1445060092694404103,536765083,Westminster,Comfortable City Centre Studio King Size Bed,51.4883631,-0.1388842,Entire home/apt,Entire rental unit
4,1358071408887979785,677601580,Westminster,En-suite Double Room,51.51836,-0.16877,Private room,Private room in rental unit
4,1358081085391312777,677601580,Westminster,En-suite Double Room,51.51836,-0.16877,Private room,Private room in rental unit
4,1358083012942517646,677601580,Westminster,En-suite Double Room,51.51836,-0.16878,Private room,Private room in rental unit
4,1358084952202638395,677601580,Westminster,En-suite Double Room,51.51837,-0.16881,Private room,Private room in rental unit
3,1354351234047926226,567537719,Barnet,Beautiful Apartment in London - Sleeps 9 guests,51.57266970000001,-0.2010959,Entire home/apt,Entire rental unit
3,1354366958380158225,567537719,Barnet,Beautiful Apartment in London - Sleeps 9 guests,51.57266970000001,-0.2010959,Entire home/apt,Entire rental unit
3,1354368305609329861,567537719,Barnet,Beautiful Apartment in London - Sleeps 9 guests,51.57266970000001,-0.2010959,Entire home/apt,Entire rental unit
3,1353592370619180881,567537719,Barnet,"Peaceful, Green Studio In London near Hampstead",51.57271170000001,-0.2012388,Entire home/apt,Entire rental unit
3,1353595929149860543,567537719,Barnet,"Peaceful, Green Studio In London near Hampstead",51.5727106,-0.2012345,Entire home/apt,Entire rental unit
3,1353597532191547797,567537719,Barnet,"Peaceful, Green Studio In London near Hampstead",51.5727106,-0.2012345,Entire home/apt,Entire rental unit
