id,neighbourhood_cleansed,room_type,property_type_bucket,price_numeric,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_communication,host_segment,host_response_rate
4349549,Westminster,private_room,apartment,,38,4.53,4.24,4.68,Small (2–5),
4359155,Camden,private_room,apartment,,20,4.55,4.2,4.8,Single (1),
4361078,Tower Hamlets,private_room,apartment,40.0,71,4.18,3.75,4.58,Single (1),1.0
4368532,Kensington and Chelsea,entire_home,apartment,,69,4.49,4.37,4.88,Single (1),
4375467,Hackney,entire_home,apartment,,44,4.39,4.05,4.89,Single (1),
4391890,Camden,entire_home,apartment,149.0,82,4.24,4.4,4.68,Commercial (21+),0.99
4407781,Westminster,entire_home,apartment,200.0,236,4.55,4.47,4.71,Single (1),1.0
4437553,Tower Hamlets,private_room,apartment,38.0,80,4.43,4.34,4.73,Commercial (21+),1.0
4512702,Tower Hamlets,private_room,apartment,35.0,157,4.58,4.39,4.89,Commercial (21+),1.0
4529881,Hackney,private_room,house,45.0,115,4.52,4.35,4.83,Professional (6–20),1.0
4563023,Hackney,private_room,house,,82,4.43,4.47,4.7,Professional (6–20),1.0
4567026,Newham,private_room,apartment,,45,4.31,4.04,4.84,Small (2–5),
4572923,Lewisham,entire_home,apartment,80.0,28,4.54,4.5,4.93,Single (1),1.0
4594331,Harrow,entire_home,apartment,36.0,28,4.57,4.46,4.71,Single (1),1.0
4594609,Waltham Forest,entire_home,apartment,,66,4.42,4.27,4.65,Small (2–5),1.0
4600070,Tower Hamlets,private_room,house,,23,4.43,4.23,4.68,Single (1),
4605913,Tower Hamlets,private_room,apartment,39.0,119,4.45,4.59,4.79,Small (2–5),1.0
4656696,Tower Hamlets,private_room,house,,22,4.27,3.81,4.81,Single (1),
4666277,Camden,entire_home,apartment,161.0,93,4.48,4.58,4.82,Small (2–5),1.0
4669647,Islington,entire_home,apartment,,57,4.51,4.54,4.82,Single (1),
4676944,Islington,private_room,house,66.0,87,4.47,4.39,4.8,Small (2–5),1.0
4679291,Kensington and Chelsea,entire_home,apartment,325.0,80,4.56,4.69,4.8,Small (2–5),1.0
4700362,Westminster,entire_home,apartment,,82,4.44,4.3,4.9,Small (2–5),0.9
4716169,Kensington and Chelsea,entire_home,apartment,195.0,138,4.55,4.51,4.82,Commercial (21+),1.0
4735748,Kensington and Chelsea,entire_home,apartment,448.0,132,4.56,4.5,4.8,Commercial (21+),1.0
4744827,Hackney,private_room,house,47.0,123,4.43,4.26,4.67,Professional (6–20),1.0
4771256,Southwark,entire_home,apartment,,116,4.53,4.3,4.66,Single (1),
4789443,Westminster,entire_home,apartment,144.0,139,4.5,4.41,4.76,Professional (6–20),0.83
4808055,Haringey,entire_home,apartment,,24,4.42,4.39,4.96,Single (1),
4829570,Islington,entire_home,apartment,,23,4.48,4.09,5.0,Single (1),
4872285,Barnet,entire_home,apartment,,95,4.32,4.15,4.53,Small (2–5),
4920844,Islington,entire_home,apartment,,49,4.43,4.12,4.52,Single (1),
5009812,Westminster,entire_home,apartment,137.0,37,4.32,4.05,4.51,Commercial (21+),0.97
5020430,Camden,entire_home,apartment,,21,4.33,4.19,4.67,Single (1),1.0
5026463,Lambeth,private_room,apartment,84.0,22,4.41,4.59,4.41,Small (2–5),
5046910,Tower Hamlets,private_room,apartment,42.0,138,4.55,4.5,4.81,Commercial (21+),1.0
5069231,Westminster,entire_home,apartment,,43,4.51,4.49,4.7,Single (1),
5074545,Tower Hamlets,private_room,apartment,58.0,20,4.25,4.25,4.8,Professional (6–20),
5093488,Newham,entire_home,apartment,71.0,25,4.12,3.71,4.88,Single (1),1.0
5103621,Kensington and Chelsea,entire_home,apartment,236.0,31,4.58,4.6,4.77,Single (1),
5188392,Islington,entire_home,house,,80,4.56,4.5,4.56,Single (1),
5233393,Hackney,entire_home,apartment,229.0,38,4.47,4.5,4.76,Single (1),1.0
5236533,Hackney,entire_home,apartment,,24,4.29,3.65,4.91,Small (2–5),
5266722,Hammersmith and Fulham,entire_home,apartment,149.0,52,4.56,4.49,4.71,Single (1),1.0
5297976,Islington,entire_home,apartment,261.0,73,4.52,4.42,4.9,Single (1),
5356505,Greenwich,private_room,house,34.0,20,4.5,4.4,4.95,Single (1),
5435570,Southwark,entire_home,apartment,156.0,85,4.58,4.65,4.79,Small (2–5),1.0
5569438,Westminster,entire_home,apartment,144.0,133,4.51,4.41,4.72,Professional (6–20),0.83
5615619,Newham,entire_home,apartment,117.0,58,4.45,4.62,4.78,Single (1),1.0
5656531,Tower Hamlets,entire_home,apartment,,154,4.32,4.22,4.67,Single (1),
5751270,Lambeth,private_room,house,38.0,382,4.55,4.21,4.8,Small (2–5),1.0
5759389,Tower Hamlets,private_room,apartment,,25,4.4,4.8,4.72,Single (1),
5773671,Kensington and Chelsea,entire_home,apartment,,24,4.21,4.08,4.58,Single (1),
5777220,Westminster,entire_home,apartment,,33,4.39,4.61,4.41,Single (1),
5813562,Tower Hamlets,entire_home,apartment,,35,4.46,4.43,4.63,Single (1),
5827987,Hammersmith and Fulham,entire_home,apartment,270.0,32,4.5,4.47,4.25,Commercial (21+),0.99
5841177,Tower Hamlets,private_room,apartment,56.0,25,4.36,4.24,4.36,Professional (6–20),
5957287,Westminster,entire_home,apartment,241.0,217,4.47,4.39,4.81,Single (1),1.0
6028421,Southwark,entire_home,apartment,,52,4.54,4.21,4.94,Small (2–5),
6041681,Kensington and Chelsea,entire_home,apartment,272.0,42,4.57,4.76,4.85,Small (2–5),
6051807,Kensington and Chelsea,entire_home,apartment,183.0,61,4.33,4.52,4.72,Professional (6–20),1.0
6059881,Southwark,private_room,apartment,75.0,26,4.58,4.54,4.77,Small (2–5),1.0
6080709,Hammersmith and Fulham,private_room,house,33.0,142,4.4,4.19,4.71,Small (2–5),1.0
6084476,Hammersmith and Fulham,private_room,apartment,32.0,125,4.34,4.08,4.8,Small (2–5),0.61
6091956,Barnet,entire_home,house,140.0,27,4.48,4.44,4.81,Single (1),
6128872,Hackney,private_room,house,55.0,46,4.57,4.63,4.65,Professional (6–20),1.0
6221011,Hackney,entire_home,house,143.0,31,4.45,4.77,4.65,Small (2–5),1.0
6313232,Camden,private_room,apartment,,97,4.01,3.54,4.59,Single (1),
6367262,Tower Hamlets,private_room,apartment,,20,4.45,4.75,4.8,Small (2–5),
6367660,Ealing,entire_home,apartment,125.0,47,4.53,4.5,4.76,Commercial (21+),0.99
6369832,Islington,entire_home,apartment,68.0,47,4.43,3.94,4.91,Single (1),
6382434,Camden,entire_home,apartment,83.0,131,4.36,4.57,4.77,Professional (6–20),1.0
6423394,Camden,entire_home,apartment,,39,4.38,4.26,4.82,Small (2–5),
6451689,Westminster,entire_home,apartment,,20,4.1,4.3,4.35,Single (1),
6480309,Kensington and Chelsea,entire_home,apartment,148.0,121,4.54,4.47,4.81,Professional (6–20),0.2
6500283,Islington,private_room,apartment,,28,4.57,4.43,4.89,Small (2–5),
