id,neighbourhood_cleansed,room_type,property_type_bucket,price_numeric,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_communication,host_segment,host_response_rate
792572785212838193,De Pijp - Rivierenbuurt,entire_home,apartment,133.0,67,4.79,4.85,4.82,solo,1.0
798948243126861330,De Pijp - Rivierenbuurt,private_room,apartment,257.0,60,4.63,4.6,4.8,professional,0.8
808662624466713575,Centrum-Oost,entire_home,apartment,702.0,60,4.78,4.92,5.0,professional,0.89
834759608068926634,Zuid,entire_home,apartment,,35,4.66,4.37,4.86,solo,1.0
845582865704770270,Centrum-West,private_room,apartment,159.0,164,4.56,4.55,4.83,multi,1.0
852043442856009458,De Baarsjes - Oud-West,private_room,apartment,,47,4.55,4.38,4.53,solo,
857912232244819865,Centrum-West,private_room,apartment,159.0,161,4.55,4.53,4.91,multi,1.0
861467850158252726,Centrum-West,private_room,apartment,123.0,121,4.75,4.75,4.93,multi,1.0
871525807497618555,Westerpark,private_room,house,115.0,99,4.68,4.79,4.73,multi,1.0
874585950722395731,Centrum-Oost,entire_home,apartment,169.0,53,4.77,4.89,4.85,multi,1.0
886135357976024989,Centrum-Oost,private_room,apartment,143.0,101,4.58,4.79,4.76,solo,1.0
886324511791632525,Buitenveldert - Zuidas,entire_home,house,,46,4.7,4.7,4.87,solo,1.0
887614357269711457,Centrum-Oost,entire_home,apartment,360.0,31,4.68,4.35,4.68,solo,
888016739156396885,Centrum-West,private_room,hotel,,39,4.59,4.59,4.36,professional,1.0
888023321185083972,Centrum-West,private_room,hotel,,31,4.35,4.48,4.65,professional,1.0
888024531592402527,Centrum-West,private_room,hotel,,61,4.75,4.8,4.7,professional,1.0
889917638978550710,Westerpark,entire_home,apartment,286.0,54,4.74,4.8,4.83,solo,1.0
892606907158447003,Centrum-West,entire_home,apartment,167.0,32,4.66,4.41,4.5,solo,0.5
893335258353473217,Noord-Oost,private_room,hotel,80.0,151,4.75,4.79,4.84,multi,0.94
896249006377405064,Noord-Oost,entire_home,other,135.0,62,4.61,4.47,4.55,professional,0.87
897856327503690423,De Pijp - Rivierenbuurt,entire_home,house,110.0,75,4.76,4.77,4.91,multi,1.0
903714820962613689,Centrum-West,entire_home,apartment,221.0,68,4.68,4.59,4.82,multi,
905676279032136546,Oud-Noord,entire_home,apartment,205.0,251,4.76,4.8,4.84,multi,0.99
905677609043113133,Oud-Noord,entire_home,apartment,182.0,1095,4.74,4.77,4.83,multi,0.99
908435116774626440,Centrum-West,entire_home,apartment,200.0,42,4.74,4.55,4.98,solo,1.0
920807348400931060,Zuid,private_room,apartment,62.0,35,4.71,4.46,4.91,multi,1.0
933188132506826453,De Pijp - Rivierenbuurt,entire_home,apartment,267.0,65,4.72,4.92,4.89,multi,1.0
949085857017071799,De Pijp - Rivierenbuurt,private_room,apartment,92.0,52,4.69,4.81,4.81,multi,1.0
